// basic nouns
to act (film/theater) or to conduct oneself, actuar
to love, amar
to win / earn, ganar
to scream / shout, gritar
to take / carry / wear, llevar
to touch / play (a musical instrument), tocar
to take / drink, tomar

// places to work
bar (drinking establishment), el bar / la taberna >> bar
company (business), empresa
work (artistic creation) / play / construction site, obra
drugstore, farmacia / droguería >> farmacia
factory / plant, fábrica
farm, granja
mine (excavation or a land mine), mina
movie theater, el cine
radio station, la <emisora de radio>
shoe store, zapatería
shopping mall, el <centro comercial>
stadium, estadio
vineyard, viña
winery / wine cellar / small shop (latin america), bodega
warehouse, el almacén
workshop / garage (repair shop for cars), el taller

// musical instruments
accordion, el acordeón
cello, el violonchelo
clarinet, el clarinete
drum, el tambor
flute, flauta
guitar, guitarra
piano, el piano
saxophone, el saxofón
trumpet, trompeta
tuba, tuba
violin, el violín

// common -er verbs
to commit, cometer
to hide, esconder
to put / place, meter
to answer / respond, responder

// more food and drink
ham, el jamón
hamburger, hamburguesa (ahm-boor-geh-sah)
hot dog, <perrito caliente>
chop (of food like pork chop), chuleta
meatballs, las albóndigas
salami, el salami
sausage, salchicha
sirloin, solomillo
stew, guisado / estofado
egg, huevo
clam, almeja
mussel, el mejillón
scallop, vieira
swordfish, el <pez espada>
artichoke, alcachofa
beans, frijoles (latin america) / judías (spain) >> frijoles
garlic, ajo
lentil, lenteja
mushroom, el champiñón
parsley, el perejil
pea, la arveja (latin america) / el guisante (spain) >> arveja
potato, papa (latin america) / patata (spain) >> papa
turnip, nabo
zucchini, el calabacín
oat, avena
wheat, trigo
cashew, anacardo
chestnut, castaña
hazelnut, avellana
nut / walnut, la nuez
peanut, el maní (latin america) / el cacahuete (spain) >> maní

// fruits
banana, el plátano / la banana >> plátano
berry, baya
date (fruit), el dátil
fig, higo
grapefruit, toronja / pomelo >> toronja
melon, melón
olive, aceituna / oliva
pomegranate, granada
raisin, pasa
rhubarb, ruibarbo
tangerine, mandarina
champagne, el champán / el champaña
cocktail, el cóctel
gin, ginebra
rum, el ron
whiskey, el whisky
cider, sidra
milkshake, batido / malteada >> batido
soda, soda
tea, el té




